runbook_id,trigger,owner,containment,recovery_steps,validation,escalation,rollback,evidence,limitations,execution_status
rb_pipeline_failure,PIPELINE_FAILURE,DATA_ENGINEERING,Pause promotion of affected data products.,Re-run local validation after metadata fix.,pipeline_health_checks_return_HEALTHY,PLATFORM_ENGINEERING,Use Milestone 15 rollback reference if release metadata is affected.,operations/reference/incident_simulation.json,Local runbook only; no production automation.,local_guidance_only
rb_stale_data,DATA_FRESHNESS,DATA_ENGINEERING,Label affected data product DEGRADED.,Refresh metadata fixture or block promotion.,freshness_health_checks_return_HEALTHY,ANALYTICS_ENGINEERING,Not applicable to local freshness metadata.,operations/reference/health_report.json,No live source freshness is queried.,local_guidance_only
rb_dbt_contract_failure,CONTRACT_FAILURE,ANALYTICS_ENGINEERING,Block affected model promotion.,Restore compatible contract or update downstream metadata.,dbt_parse_and_contract_checks_pass,DATA_GOVERNANCE,Use release rollback reference when caused by promotion.,operations/reference/incident_simulation.json,No live dbt job is executed by the runbook.,local_guidance_only
rb_reconciliation_control_failure,BILLING_CONTROL,REVENUE_ASSURANCE,Mark finance assurance output DEGRADED.,Resolve control input or accept documented risk.,reconciliation_control_pass_rate_within_target,FINANCE_ANALYTICS,Not automatic; release rollback follows Milestone 15.,operations/reference/post_incident_review.md,Synthetic assurance data only.,local_guidance_only
rb_governance_checksum_mismatch,ACCESS_CONTROL,DATA_GOVERNANCE,Fail closed until policy integrity is restored.,Regenerate governance evidence from trusted registry.,governance_checksum_and_policy_resolution_pass,SECURITY_OPERATIONS,Restore last accepted governance registry version.,operations/reference/incident_simulation.json,Does not alter live access controls.,local_guidance_only
rb_feature_freshness_failure,FEATURE_FRESHNESS,DATA_SCIENCE,Mark affected feature consumers DEGRADED.,Rebuild local reference output after owner review.,feature_freshness_rate_within_target,FEATURE_STORE_OWNER,Restore accepted feature registry version.,operations/reference/health_report.json,Offline feature fixtures only.,local_guidance_only
rb_model_output_validation_failure,MODEL_GOVERNANCE,DATA_SCIENCE,Block model promotion or scoring package acceptance.,Correct contract or model-card metadata.,model_output_validation_rate_within_target,DATA_GOVERNANCE,Restore accepted model registry version.,operations/reference/incident_simulation.json,No live model endpoint is invoked.,local_guidance_only
rb_powerbi_refresh_failure,SEMANTIC_REFRESH,BI_ANALYTICS,Disable refresh acceptance in local metadata.,Restore semantic model contract or report specification.,semantic_refresh_success_rate_within_target,ANALYTICS_ENGINEERING,Restore accepted semantic model reference output.,operations/reference/health_report.json,No Fabric or Power BI API call is made.,local_guidance_only
rb_deployment_drift,DEPLOYMENT_DRIFT,PLATFORM_ENGINEERING,Block promotion until drift disposition is recorded.,Regenerate plan metadata or rollback per Milestone 15.,deployment_validation_success_within_target,RELEASE_MANAGER,Milestone 15 rollback plan.,deployment/reference/drift_report.json,No live Terraform apply is executed.,local_guidance_only
rb_recovery_readiness_failure,RECOVERY_READINESS,RECOVERY_COORDINATION,Block recovery-readiness claim.,Restore Milestone 16 evidence integrity.,recovery_readiness_rate_within_target,PLATFORM_ENGINEERING,Restore accepted recovery registry and evidence.,recovery/reference/recovery_validation_report.json,No live failover is executed.,local_guidance_only
rb_evidence_checksum_failure,EVIDENCE_INTEGRITY,PLATFORM_ENGINEERING,Reject evidence pack until checksum mismatch is resolved.,Regenerate deterministic evidence after owner approval.,checksum_verification_passes,DATA_GOVERNANCE,Restore last accepted evidence bundle.,operations/reference/checksums.sha256,Local evidence only.,local_guidance_only
rb_regional_recovery_drill,RECOVERY_READINESS,RECOVERY_COORDINATION,Keep drill local and synthetic.,Simulate recovery ordering and validate RTO/RPO metadata.,drill_status_DRILL_PASSED_or_READY_WITH_APPROVAL,PLATFORM_ENGINEERING,No live rollback; simulation reset only.,operations/reference/drill_simulation.json,"No live failover, failback, DNS, account or cloud action.",local_simulation_only
