reconciliation_exception_key,detected_at,exception_type,affected_object_type,severity,financial_value_at_risk,exception_age_days,recurrence_count,assigned_owner,source_system,payer_type,contract_type,timing_difference_flag,control_status,unresolved_dependency_count,currency,material_remediation_required
EXC-0001,2024-10-01,COUNT_VARIANCE,CLAIMS,LOW,25.00,92,0,DATA_QUALITY,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,false,WARNING,0,GBP,0
EXC-0002,2024-10-04,AMOUNT_VARIANCE,INVOICE,HIGH,1850.00,89,2,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,EPISODE,false,FAIL,2,GBP,1
EXC-0003,2024-10-08,BALANCE_MISMATCH,OUTSTANDING_BALANCE,HIGH,2400.00,85,3,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,SELF_PAY,ITEMISED,false,FAIL,3,GBP,1
EXC-0004,2024-10-11,CONTROL_WARNING,PAYMENT,MEDIUM,150.00,82,1,DATA_QUALITY,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,true,WARNING,0,GBP,0
EXC-0005,2024-10-15,MISSING_TARIFF,CLAIM_LINE,CRITICAL,5200.00,78,4,CONTRACTING,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,EPISODE,false,FAIL,4,GBP,1
EXC-0006,2024-10-20,REJECTED_CLAIM,CLAIM,HIGH,980.00,73,2,BILLING_OPERATIONS,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,false,FAIL,1,GBP,1
EXC-0007,2024-10-25,CURRENCY_MISMATCH,PAYMENT,MEDIUM,300.00,68,1,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,EPISODE,false,WARNING,1,GBP,0
EXC-0008,2024-10-31,UNALLOCATED_PAYMENT,PAYMENT,HIGH,1250.00,62,3,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,SELF_PAY,ITEMISED,false,FAIL,2,GBP,1
EXC-0009,2024-11-05,COUNT_VARIANCE,INVOICE_LINE,LOW,10.00,57,0,DATA_QUALITY,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,true,WARNING,0,GBP,0
EXC-0010,2024-11-10,OVERPAYMENT,PAYMENT,MEDIUM,450.00,52,1,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,EPISODE,false,FAIL,1,GBP,0
EXC-0011,2024-11-15,AMOUNT_VARIANCE,INVOICE,HIGH,2100.00,47,2,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,EPISODE,false,FAIL,2,GBP,1
EXC-0012,2024-11-20,UNMATCHED_HEALTHCARE_REFERENCE,CLAIM,MEDIUM,250.00,42,1,DATA_QUALITY,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,false,WARNING,1,GBP,0
EXC-0013,2024-11-25,BALANCE_MISMATCH,OUTSTANDING_BALANCE,CRITICAL,7600.00,37,5,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,SELF_PAY,ITEMISED,false,FAIL,4,GBP,1
EXC-0014,2024-12-01,CONTROL_WARNING,REFUND,LOW,35.00,31,0,DATA_QUALITY,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,true,WARNING,0,GBP,0
EXC-0015,2024-12-06,MISSING_TARIFF,CLAIM_LINE,HIGH,1750.00,26,2,CONTRACTING,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,EPISODE,false,FAIL,2,GBP,1
EXC-0016,2024-12-10,REJECTED_CLAIM,CLAIM,MEDIUM,650.00,22,1,BILLING_OPERATIONS,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,false,FAIL,1,GBP,0
EXC-0017,2024-12-14,UNALLOCATED_PAYMENT,PAYMENT,HIGH,1350.00,18,3,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,SELF_PAY,ITEMISED,false,FAIL,2,GBP,1
EXC-0018,2024-12-18,CURRENCY_MISMATCH,PAYMENT,LOW,80.00,14,0,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,EPISODE,true,WARNING,0,GBP,0
EXC-0019,2024-12-22,AMOUNT_VARIANCE,INVOICE,MEDIUM,700.00,10,1,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,BLOCK,false,FAIL,1,GBP,0
EXC-0020,2024-12-28,BALANCE_MISMATCH,OUTSTANDING_BALANCE,CRITICAL,8900.00,4,5,FINANCE_CONTROL,SYNTHETIC_BILLING_FINANCE,SELF_PAY,ITEMISED,false,FAIL,5,GBP,1
