entity_key,observation_timestamp,affected_object_type,source_system,payer_context,event_time,availability_time,severity,financial_value_at_risk,control_status
EXC-0001,2024-11-01T00:00:00+00:00,CLAIMS,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,2024-10-01T00:00:00+00:00,2024-10-01T01:00:00+00:00,LOW,25.00,WARNING
EXC-0002,2024-11-05T00:00:00+00:00,INVOICE,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,2024-10-04T00:00:00+00:00,2024-10-04T01:00:00+00:00,HIGH,1850.00,FAIL
EXC-0003,2024-11-10T00:00:00+00:00,OUTSTANDING_BALANCE,SYNTHETIC_BILLING_FINANCE,SELF_PAY,2024-10-08T00:00:00+00:00,2024-10-08T01:00:00+00:00,HIGH,2400.00,FAIL
EXC-0004,2024-11-15T00:00:00+00:00,PAYMENT,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,2024-10-11T00:00:00+00:00,2024-10-11T01:00:00+00:00,MEDIUM,150.00,WARNING
EXC-0005,2024-11-20T00:00:00+00:00,CLAIM_LINE,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,2024-10-15T00:00:00+00:00,2024-10-15T01:00:00+00:00,CRITICAL,5200.00,FAIL
EXC-0006,2024-12-01T00:00:00+00:00,CLAIM,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,2024-10-20T00:00:00+00:00,2024-10-20T01:00:00+00:00,HIGH,980.00,FAIL
EXC-0007,2024-12-08T00:00:00+00:00,PAYMENT,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,2024-10-25T00:00:00+00:00,2024-10-25T01:00:00+00:00,MEDIUM,300.00,WARNING
EXC-0008,2024-12-15T00:00:00+00:00,PAYMENT,SYNTHETIC_BILLING_FINANCE,SELF_PAY,2024-10-31T00:00:00+00:00,2024-10-31T01:00:00+00:00,HIGH,1250.00,FAIL
EXC-0009,2024-12-22T00:00:00+00:00,INVOICE_LINE,SYNTHETIC_BILLING_FINANCE,NHS_STANDARD,2024-11-05T00:00:00+00:00,2024-11-05T01:00:00+00:00,LOW,10.00,WARNING
EXC-0010,2024-12-29T00:00:00+00:00,PAYMENT,SYNTHETIC_BILLING_FINANCE,PRIVATE_INSURER,2024-11-10T00:00:00+00:00,2024-11-10T01:00:00+00:00,MEDIUM,450.00,FAIL
