scenario_id,persona,decision,expected_decision,matched_policy,reason
clinical_aggregate_allowed,CLINICAL_ANALYST,ALLOW,ALLOW,ap_clinical_aggregate_read,matched ap_clinical_aggregate_read
billing_no_clinical_detail_default_deny,BILLING_ANALYST,DENY,DENY,ap_default_deny,No explicit matching allow policy.
finance_direct_identifier_denied,FINANCE_ANALYST,DENY,DENY,ap_finance_no_direct_identifiers,matched ap_finance_no_direct_identifiers
revenue_assurance_exception_allowed,REVENUE_ASSURANCE_ANALYST,ALLOW,ALLOW,ap_revenue_assurance_exception_read,matched ap_revenue_assurance_exception_read
research_active_consent_allowed,RESEARCH_ANALYST,ALLOW,ALLOW,ap_research_requires_eligibility,matched ap_research_requires_eligibility
research_withdrawn_consent_denied,RESEARCH_ANALYST,DENY,DENY,ap_research_withdrawn_consent_deny,matched ap_research_withdrawn_consent_deny
report_viewer_detail_export_denied,REPORT_VIEWER,DENY,DENY,ap_report_viewer_no_detail_export,matched ap_report_viewer_no_detail_export
auditor_evidence_allowed,AUDITOR,ALLOW,ALLOW,ap_auditor_read_evidence,matched ap_auditor_read_evidence
service_identity_interactive_denied,SERVICE_IDENTITY,DENY,DENY,ap_service_identity_no_interactive_login,matched ap_service_identity_no_interactive_login
data_scientist_feature_allowed,DATA_SCIENTIST,ALLOW,ALLOW,ap_data_scientist_feature_read,matched ap_data_scientist_feature_read
