sli_id,service_id,description,numerator,denominator,unit,calculation_window,data_source,owner,implementation_status
sli_pipeline_success_rate,airflow_orchestration,Synthetic pipeline success rate across local orchestration contracts.,successful_synthetic_pipeline_runs,attempted_synthetic_pipeline_runs,percentage,30d,local_run_manifest_fixture,DATA_ENGINEERING,metadata_only
sli_governance_validation_success,governance_registry,Percentage of local governance registry validations passing.,passing_governance_validations,evaluated_governance_validations,percentage,release_candidate,governance_reference_outputs,DATA_GOVERNANCE,metadata_only
sli_data_freshness_delay,dbt_staging,Maximum synthetic source freshness delay.,records_within_freshness_target,records_evaluated,percentage,24h,dbt_source_freshness_metadata,ANALYTICS_ENGINEERING,metadata_only
sli_contract_validation_success,dbt_staging,Percentage of local contract validations passing.,passing_contract_validations,total_contract_validations,percentage,30d,local_validation_reports,ANALYTICS_ENGINEERING,metadata_only
sli_test_pass_rate,healthcare_core,Test pass rate from credential-free local validation.,passing_tests,total_tests,percentage,commit,pytest_fixture,PLATFORM_ENGINEERING,local_simulation
sli_reconciliation_control_pass_rate,assurance_controls,Synthetic reconciliation-control pass rate.,passing_reconciliation_controls,evaluated_reconciliation_controls,percentage,business_day,assurance_reference_outputs,REVENUE_ASSURANCE,metadata_only
sli_unresolved_critical_exception_count,billing_finance,Count of unresolved critical synthetic assurance exceptions.,unresolved_critical_exceptions,not_applicable,count,business_day,assurance_exception_fixture,REVENUE_ASSURANCE,metadata_only
sli_feature_freshness_rate,feature_store,Percentage of feature views within synthetic freshness target.,fresh_feature_views,evaluated_feature_views,percentage,24h,feature_store_reference_outputs,DATA_SCIENCE,metadata_only
sli_model_output_validation_rate,dataiku_analytics,Percentage of synthetic model outputs matching the output contract.,validated_model_outputs,generated_model_outputs,percentage,scenario_run,dataiku_reference_outputs,DATA_SCIENCE,metadata_only
sli_semantic_refresh_success_rate,powerbi_reports,Synthetic semantic refresh contract success rate.,successful_refresh_contracts,evaluated_refresh_contracts,percentage,30d,powerbi_reference_outputs,BI_ANALYTICS,metadata_only
sli_deployment_validation_success,cicd_controls,Percentage of local deployment-control validations passing.,passing_deployment_controls,evaluated_deployment_controls,percentage,release_candidate,deployment_reference_outputs,PLATFORM_ENGINEERING,metadata_only
sli_evidence_checksum_success,assurance_controls,Percentage of critical evidence files with matching checksums.,valid_evidence_checksums,checked_evidence_files,percentage,evidence_generation,local_checksum_manifests,PLATFORM_ENGINEERING,local_simulation
sli_recovery_readiness_rate,recovery_evidence_service,Percentage of local recovery readiness checks passing.,passing_recovery_checks,evaluated_recovery_checks,percentage,drill_run,recovery_reference_outputs,RECOVERY_COORDINATION,local_simulation
sli_mean_simulated_recovery_time,recovery_evidence_service,Mean deterministic simulated recovery duration.,total_simulated_recovery_minutes,simulated_drill_count,minutes,drill_run,recovery_drill_simulation,RECOVERY_COORDINATION,local_simulation
sli_simulated_rpo_compliance_rate,recovery_evidence_service,Percentage of simulated drills within RPO target.,drills_within_rpo_target,simulated_drill_count,percentage,drill_run,recovery_drill_simulation,RECOVERY_COORDINATION,local_simulation
