capability_id,capability,domain,owning_milestone,owning_component,implementation_type,status,validation_method,evidence_reference,live_connected_status,limitations,portfolio_value,relevant_roles
cap_synthetic_sources,Synthetic healthcare and billing sources,source_data,"2,7",Python generator,IMPLEMENTED_LOCAL,complete_local,local validation reports,data/samples/small/validation_report.json,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows synthetic healthcare and billing sources in one coherent platform.,Data/platform engineering
cap_interoperability,FHIR and HL7 interoperability contracts,interoperability,4,Interoperability service,IMPLEMENTED_LOCAL,complete_local,FHIR/HL7 validation,data/samples/interoperability/manifests/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows fhir and hl7 interoperability contracts in one coherent platform.,Integration engineering
cap_snowflake_foundation,Snowflake platform foundation,platform,3,Snowflake,STATIC_BLUEPRINT,complete_local,static inventory validation,snowflake/inventory/foundation.json,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows snowflake platform foundation in one coherent platform.,Platform engineering
cap_dbt_staging_core,dbt staging and healthcare core,analytics_engineering,"5,6",dbt,IMPLEMENTED_LOCAL,complete_local,dbt parse and static tests,docs/evidence/milestone-6-evidence.md,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows dbt staging and healthcare core in one coherent platform.,Analytics engineering
cap_billing_finance,Billing and finance dbt products,finance,8,dbt,IMPLEMENTED_LOCAL,complete_local,dbt static tests,docs/evidence/milestone-8-evidence.md,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows billing and finance dbt products in one coherent platform.,Finance analytics
cap_assurance,Assurance and reconciliation controls,assurance,9,dbt assurance layer,IMPLEMENTED_LOCAL,complete_local,assurance tests and evidence,docs/evidence/milestone-9-evidence.md,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows assurance and reconciliation controls in one coherent platform.,Revenue assurance
cap_airflow,Airflow orchestration contracts,orchestration,10,Airflow,STATIC_BLUEPRINT,complete_local,DAG static tests,docs/evidence/milestone-10-evidence.md,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows airflow orchestration contracts in one coherent platform.,Data engineering
cap_dataiku,Dataiku analytics and MLOps blueprint,mlops,11,Dataiku,STATIC_BLUEPRINT,complete_local,reference workflow tests,dataiku/projects/healthcare_analytics/reference_outputs/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows dataiku analytics and mlops blueprint in one coherent platform.,Data science
cap_feature_store,Governed offline feature store,features,12,Feature store,IMPLEMENTED_LOCAL,complete_local,registry and retrieval tests,feature_store/reference/outputs/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows governed offline feature store in one coherent platform.,Data science
cap_fabric_powerbi,Fabric and Power BI consumption,bi,13,Fabric/Power BI,STATIC_BLUEPRINT,complete_local,semantic metadata validation,powerbi/reference/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows fabric and power bi consumption in one coherent platform.,BI analytics
cap_governance,Enterprise governance and security controls,governance,14,Governance registry,LOCALLY_SIMULATED,complete_local,registry validation,governance/reference/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows enterprise governance and security controls in one coherent platform.,Governance/security
cap_deployment,Protected CI/CD and deployment controls,delivery,15,Deployment controls,DEPLOYMENT_READY,complete_local,policy gate simulation,deployment/reference/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows protected ci/cd and deployment controls in one coherent platform.,Platform engineering
cap_recovery,Resilience and recovery design,resilience,16,Recovery registry,LOCALLY_SIMULATED,complete_local,failover simulation,recovery/reference/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows resilience and recovery design in one coherent platform.,Recovery coordination
cap_operations,Operational observability and incident readiness,operations,17,Operations registry,LOCALLY_SIMULATED,complete_local,health and drill simulation,operations/reference/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows operational observability and incident readiness in one coherent platform.,Operations/platform
cap_portfolio_release,Portfolio release readiness,portfolio,18,Portfolio evidence,LOCALLY_SIMULATED,complete_local,golden path and release manifest,portfolio/reference/checksums.sha256,not_live_connected,Local synthetic portfolio evidence; not production deployed.,Shows portfolio release readiness in one coherent platform.,Reviewer/recruiter
